,activity_date,dau,wau
0,2023-01-01,601,4598
1,2023-01-02,438,4275
2,2023-01-03,368,3927
3,2023-01-04,501,3631
4,2023-01-05,623,3541
5,2023-01-06,623,3624
6,2023-01-07,684,3798
7,2023-01-08,686,3883
8,2023-01-09,484,3928
9,2023-01-10,430,3988
10,2023-01-11,633,4116
11,2023-01-12,616,4107
12,2023-01-13,805,4284
13,2023-01-14,1297,4901
14,2023-01-15,1338,5546
15,2023-01-16,986,6048
16,2023-01-17,999,6613
17,2023-01-18,1031,7017
18,2023-01-19,1050,7446
19,2023-01-20,1141,7780
20,2023-01-21,1235,7719
21,2023-01-22,1215,7585
22,2023-01-23,1132,7736
23,2023-01-24,1080,7817
24,2023-01-25,1051,7837
25,2023-01-26,949,7735
26,2023-01-27,1127,7714
27,2023-01-28,1406,7885
28,2023-01-29,1327,7991
29,2023-01-30,949,7811
30,2023-01-31,1165,7900
31,2023-02-01,1098,7949
32,2023-02-02,972,7978
33,2023-02-03,988,7841
34,2023-02-04,1063,7496
35,2023-02-05,939,7100
36,2023-02-06,637,6792
37,2023-02-07,625,6261
38,2023-02-08,611,5775
39,2023-02-09,654,5459
40,2023-02-10,731,5213
41,2023-02-11,1017,5174
42,2023-02-12,884,5117
43,2023-02-13,605,5087
44,2023-02-14,705,5166
45,2023-02-15,639,5187
46,2023-02-16,649,5180
47,2023-02-17,685,5132
48,2023-02-18,817,4939
49,2023-02-19,856,4911
50,2023-02-20,691,4995
51,2023-02-21,721,5005
52,2023-02-22,608,4974
53,2023-02-23,623,4947
54,2023-02-24,689,4951
55,2023-02-25,1117,5255
56,2023-02-26,992,5395
57,2023-02-27,688,5394
58,2023-02-28,768,5439
59,2023-03-01,785,5619
60,2023-03-02,713,5706
61,2023-03-03,834,5854
62,2023-03-04,1253,5992
63,2023-03-05,289,5291
64,2023-03-06,460,5063
65,2023-03-07,819,5111
66,2023-03-08,829,5162
67,2023-03-09,976,5424
68,2023-03-10,1136,5726
69,2023-03-11,1690,6156
70,2023-03-12,1556,7404
71,2023-03-13,788,7717
72,2023-03-14,842,7732
73,2023-03-15,621,7515
74,2023-03-16,983,7536
75,2023-03-17,1129,7523
76,2023-03-18,1546,7385
77,2023-03-19,1309,7137
78,2023-03-20,939,7283
79,2023-03-21,903,7343
80,2023-03-22,847,7566
81,2023-03-23,838,7429
82,2023-03-24,486,6787
83,2023-03-25,1306,6551
84,2023-03-26,1445,6700
85,2023-03-27,829,6599
86,2023-03-28,808,6501
87,2023-03-29,798,6446
88,2023-03-30,876,6483
89,2023-03-31,974,6971
90,2023-04-01,1266,6935
91,2023-04-02,1448,6950
92,2023-04-03,905,7024
93,2023-04-04,724,6931
94,2023-04-05,814,6946
95,2023-04-06,757,6831
96,2023-04-07,978,6840
97,2023-04-08,943,6516
98,2023-04-09,958,6034
99,2023-04-10,840,5971
100,2023-04-11,814,6066
101,2023-04-12,855,6103
102,2023-04-13,993,6341
103,2023-04-14,903,6261
104,2023-04-15,1123,6440
105,2023-04-16,1067,6546
106,2023-04-17,730,6431
107,2023-04-18,720,6336
108,2023-04-19,807,6287
109,2023-04-20,1067,6362
110,2023-04-21,1383,6833
111,2023-04-22,1962,7678
112,2023-04-23,1852,8464
113,2023-04-24,1134,8864
114,2023-04-25,1156,9302
115,2023-04-26,1205,9700
116,2023-04-27,1088,9725
117,2023-04-28,1012,9352
118,2023-04-29,1169,8566
119,2023-04-30,1156,7870
120,2023-05-01,1088,7823
121,2023-05-02,726,7387
122,2023-05-03,681,6868
123,2023-05-04,644,6427
